Marque,Nom produit FR,Format,Type de peau / zone,Problème ciblé,Bénéfice 1,Bénéfice 2,Bénéfice 3,Comment l'utiliser
Beauty of Joseon,Huile démaquillante au ginseng,210 ml,"Toutes peaux, même sensibles - visage","Démaquiller maquillage, SPF et excès de sébum","Dissout maquillage, écrans solaires et impuretés",A Base d'huiles végétales et extrait de ginseng qui nettoie en profondeur,"Préserve l'hydratation, laisse la peau douce sans film gras","Le soir sur peau sèche, masser 1 à 2 pompes puis émulsionner avec un peu d'eau et rincer"
Beauty of Joseon,Lotion tonique éclat au lait de riz,150 ml,"Toutes peaux, surtout ternes ou déshydratées - visage",Manque d'éclat et déshydratation,Tonique lacté aux extraits de riz qui hydrate,Acide hyaluronique pour lisser et repulper,Aide à renforcer la barrière cutanée,"Après le nettoyage, matin et soir, appliquer sur le visage avant le sérum"
Beauty of Joseon,Sérum éclat Propolis + Niacinamide,30 ml,Peaux mixtes à grasses ou à imperfections - visage,"Rougeurs, pores visibles, excès de sébum",Propolis qui apaise et renforce la peau,Niacinamide qui régule le sébum et homogénéise le teint,Texture légère non collante,Appliquer 2 à 3 gouttes matin et ou soir sur peau propre avant la crème
Beauty of Joseon,Beaume démaquillant éclat,100 ml,Toutes peaux - visage,"Maquillage, crème solaire, excès de sébum et impuretés","Fait fondre maquillage, SPF et sébum en douceur",Aide à illuminer le teint et maintenir l’hydratation,"Texture souple qui se rince facilement, sans laisser de film gras","Le soir, appliquer une noisette sur visage sec et masser jusqu’à ce qu’il fonde. Ajouter un peu d’eau tiède, puis rincer abondamment. Poursuivre avec un nettoyant moussant pour un double nettoyage complet"
Biotherm,Aquasource crème hydratante peaux normales à mixtes,50 ml,Peaux normales à mixtes - visage,Déshydratation et tiraillements,Life Plankton et actifs hydratants pour une hydratation continue,Texture gel fraîche et non grasse,Teint plus lumineux et peau rebondie,Appliquer matin et ou soir sur visage et cou après le sérum
Biotherm,Blue Retinol Night Serum,30 ml,Toutes peaux habituées au rétinol - visage,"Rides, taches, texture irrégulière",Association de rétinol pur et Life Plankton qui stimule le renouvellement cellulaire,Lisse rides et ridules au fil des semaines,Contribue à unifier le teint,"Le soir uniquement, 2 à 3 gouttes sur peau sèche, commencer 2 à 3 fois par semaine et toujours utiliser un SPF le lendemain"
Biotherm Homme,Aquapower 72h concentré hydratant,50 ml,Peaux masculines normales à déshydratées - visage,"Déshydratation, tiraillements, manque de confort",Gel frais qui hydrate intensément et durablement,Apaise immédiatement après le rasage,Laisse la peau énergisée et souple,"Appliquer matin et ou soir sur visage propre, idéalement après le rasage"
Clarins,Doux Nettoyant Gommant Express,125 ml,Toutes peaux - visage,"Teint terne, cellules mortes, grain irrégulier",Nettoyant 2 en 1 avec microbilles exfoliantes douces,Extraits d'orange pour raviver l'éclat,Peau plus lisse et plus lumineuse,"Utiliser 2 à 3 fois par semaine sur peau humide, masser en évitant le contour des yeux puis rincer"
Clarins,Huile Tonic Corps,100 ml,Tous types de peau - corps,Manque de fermeté et perte d'élasticité,Huile 100 pour cent extraits de plantes tonifiants,Huile de noisette nourrissante qui maintient l'hydratation,Aide à prévenir l'apparition de vergetures,"Sur peau légèrement humide après la douche, masser en mouvements ascendants sur les zones à raffermir"
Clarins,Lait Corps Hydratant Velours,400 ml,Peaux sèches à très sèches - corps,"Sécheresse, rugosités, manque de confort",Lait riche en beurre de karité et extraits végétaux,Hydrate intensément et laisse la peau veloutée,Peau douce et souple sans film gras,"Appliquer chaque jour sur l'ensemble du corps, de préférence après la douche"
Clarins,Lait Démaquillant Velours,200 ml,Peaux normales à sèches - visage,"Démaquillage et pollution, inconfort",Lait démaquillant doux aux extraits d'herbes alpines,Dissout maquillage et impuretés tout en apaisant,Préserve le film hydrolipidique,"Matin et ou soir, appliquer et masser puis retirer avec un coton ou rincer selon préférence"
Clarins,Lotion Tonique Purifiante,200 ml,Peaux mixtes à grasses - visage,"Excès de sébum, pores dilatés, brillance",Lotion sans alcool à la reine des prés et hamamélis,Aide à resserrer les pores et à affiner le grain de peau,Apporte un effet légèrement matifiant,"Appliquer matin et ou soir après le nettoyage, sur coton ou directement avec les mains"
Clarins,My Clarins Beautiful Hands - crèmes mains,30 ml,Toutes peaux - mains,Mains sèches ou agressées par les lavages,8 mini crèmes mains aux parfums variés,Formules nourrissantes qui adoucissent et protègent,Formats nomades à garder sur soi ou à offrir,Appliquer une petite noisette sur les mains aussi souvent que nécessaire
Clinique,Lotion Exfoliante 2,200 ml,Peaux sèches à mixtes - visage,"Cellules mortes, teint terne, pores obstrués",Lotion exfoliante liquide qui retire les cellules mortes,Lisse le grain de peau et ravive l'éclat,Prépare la peau à mieux absorber les soins,"Matin et soir, passer sur le visage avec un coton, sans rincer"
Clinique,Dramatically Different Hydratant Gel,50 ml,Peaux mixtes à grasses - visage,Manque d'hydratation avec brillance,Gel hydratant sans huile qui apporte de l'eau sans gras,Renforce la barrière cutanée,Laisse un fini frais et non collant,Appliquer matin et ou soir sur le visage après la lotion clarifiante
Clinique,Dramatically Different Hydratant Gel,125 ml,Peaux mixtes à grasses - visage,Manque d'hydratation avec brillance,Gel hydratant sans huile qui apporte de l'eau sans gras,Renforce la barrière cutanée,Laisse un fini frais et non collant,Appliquer matin et ou soir sur le visage après la lotion clarifiante
