SKU,Référence complète,Marque,Référence Courte,PVP (FCFA),Catégorie,Action Principale,Type de Peau
BOJ-GIN-CLE-210,Beauty of Joseon - Huile démaquillante au ginseng 210 ml,Beauty of Joseon,Huile démaquillante au ginseng,  20 500 ,Nettoyant,"Dissout le gras, SPF et maquillage",Tous
BOJ-GLO-MIL-150,Beauty of Joseon - Lotion tonique éclat au lait de riz 150 ml,Beauty of Joseon,Lotion tonique éclat lait de riz,  19 500 ,Toner,Hydrate et unifie le teint,Tous / Sec
BOJ-GLO-SER-30,Beauty of Joseon - Sérum éclat Propolis + Niacinamide 30 ml,Beauty of Joseon,Sérum éclat Propolis + Niacinamide,  18 500 ,Traitement,"Anti-inflammatoire et ""Glow""",Mixte / Grasse
BOJ-RAD-BAL-100,Beauty of Joseon - Baume démaquillant éclat 100 ml,Beauty of Joseon,Baume démaquillant éclat,  17 500 ,Nettoyant,Nettoyage profond et éclat,Tous
BOJ-INT-SER-30,Beauty of Joseon – Sérum éclat intense : riz + alpha-arbutine – 30 ml,Beauty of Joseon,Sérum riz + alpha-arbutine,  17 500 ,Traitement,Correction des taches pigmentaires,Tous
BOJ-PRU-CLE-100,Beauty of Joseon – Nettoyant rafraîchissant à la prune verte – 100 ml,Beauty of Joseon,Nettoyant prune verte,  14 500 ,Nettoyant,Rafraîchit et exfolie doucement,Tous
BOJ-SUN-PRO-50,Beauty of Joseon – Crème solaire apaisante : riz + probiotiques – 50 ml,Beauty of Joseon,Crème solaire riz + probiotiques,  18 500 ,Protection,Protection UV sans traces blanches,Tous
BOJ-APA-SER-30,Beauty of Joseon – Sérum apaisant : thé vert + panthénol – 30 ml,Beauty of Joseon,Sérum apaisant thé vert + panthénol,  17 500 ,Traitement,Calme les rougeurs et hydrate,Sensible
BOJ-RED-GEL-100,Beauty of Joseon – Gel hydratant à l’eau de haricot rouge – 100 ml,Beauty of Joseon,Gel hydratant haricot rouge,  18 500 ,Hydratant,Hydrate sans brillance,Grasse / Mixte
ANU-HEA-MOU-150,ANUA – Mousse nettoyante purifiante Heartleaf Quercetinol – 150 ml,Anua,Mousse nettoyante Heartleaf,  16 000 ,Nettoyant,Purifie les pores en profondeur,Grasse / Mixte
ANU-HEA-TON-150,ANUA – Lotion tonique apaisante Heartleaf 77 % – 150 ml,Anua,Lotion tonique Heartleaf 77 %,  18 000 ,Toner,Apaise et réduit les irritations,Sensible / Tous
ANU-NIA-TXA-30,ANUA – Sérum Niacinamide 10 % + TXA 4 % éclat et taches pigmentaires – 30 ml,Anua,Sérum Niacinamide 10 % + TXA 4 %,  29 500 ,Traitement,Anti-taches puissant (Eclat),Tous
ANU-PEC-SER-30,ANUA – Sérum pêche 70 % niacinamide – 30 ml,Anua,Sérum pêche 70 % niacinamide,  25 900 ,Traitement,Lisse le grain de peau et illumine,Tous
AXS-ECL-SER-50,AXIS-Y – Sérum éclat correcteur de taches pigmentaires – 50 ml,Axis-Y,Sérum éclat correcteur de taches,  17 500 ,Traitement,Estompe les cicatrices d'acné,Mixte / Grasse
AXS-ECL-TON-125,AXIS-Y – Lotion tonique éclat correctrice de taches pigmentaires – 125 ml,Axis-Y,Lotion tonique éclat correctrice,  17 500 ,Toner,Prépare la peau et unifie,Tous
AXS-SPO-DIF-15,AXIS-Y – Spot The Difference Soin local anti-imperfections – 15 ml,Axis-Y,Spot The Difference,  13 900 ,Traitement,Soin ciblé sur les boutons actifs,Grasse / Mixte
AXS-SUN-MOU-120,AXIS-Y – Sunday Morning Mousse nettoyante rafraîchissante – 120 ml,Axis-Y,Sunday Morning Mousse nettoyante,  14 500 ,Nettoyant,Nettoyage doux pH équilibré,Tous
NUB-ACT-CRM-30,NUBIANCE ACT-5 – Crème anti-imperfections  30 ml,Nubiance,ACT-5 Crème anti-imperfections,  16 500 ,Traitement,Traite acné et points noirs,Grasse / Mixte
NUB-CLE-GEL-200,NUBIANCE Cleanactyl – Gel nettoyant visage 200 ml,Nubiance,Cleanactyl Gel nettoyant,  16 500 ,Nettoyant,Purifie les peaux à imperfections,Grasse / Mixte
NUB-HRB-JOU-50,NUBIANCE HRB-3 – Soin Jour anti-taches 50 ml,Nubiance,HRB-3 Soin Jour anti-taches,  18 000 ,Traitement,Protège et unifie (Jour),Tous
NUB-HRB-SER-30,NUBIANCE HRB-3 – Sérum Éclat anti-taches aux AHA 30 ml,Nubiance,HRB-3 Sérum Éclat aux AHA,  20 900 ,Traitement,Exfolie et booste l'anti-taches,Tous
NUB-HRB-CRM-50,NUBIANCE HRB-3 – Crème éclat Anti-taches 50 ml,Nubiance,HRB-3 Crème éclat Anti-taches,  26 900 ,Traitement,Répare et unifie (Nuit),Tous
NUB-HYD-SER-30,NUBIANCE – Sérum Hydratation Intense 30 ml,Nubiance,Sérum Hydratation Intense,  20 900 ,Traitement,Hydrate les couches profondes,Tous / Sec
NUB-MIC-EAU-500,NUBIANCE Micelliance – Eau Micellaire haute tolérance 500 ml,Nubiance,Micelliance Eau Micellaire,  13 900 ,Nettoyant,Démaquille les peaux sensibles,Tous
NUB-BAU-COR-450,NUBIANCE – Baume Corps Hydratant 450 ml,Nubiance,Baume Corps Hydratant,  21 900 ,Corps,Nourrit intensément le corps,Sec / Très sec
NUB-LAI-COR-500,NUBIANCE – Lait Corps Unifiant & Hydratant 500 ml,Nubiance,Lait Corps Unifiant & Hydratant,  26 900 ,Corps,Unifie le teint du corps,Tous
CLI-CLA-LO2-200,Clinique - Lotion Exfoliante 2 200 ml,Clinique,Lotion Clarifiante 2,  24 900 ,Toner,Exfoliation douce (peaux mixtes),Mixte
CLI-DRA-GEL-50,Clinique Dramatically Different - Gel Hydratant 50 ml,Clinique,Dramatically Different Gel,  24 500 ,Hydratant,Hydratation légère non grasse,Grasse / Mixte
CLI-DRA-GEL-125,Clinique Dramatically Different - Gel Hydratant 125 ml,Clinique,Dramatically Different Gel (125ml),  40 000 ,Hydratant,Format économique hydratation,Grasse / Mixte
